study_hours,attendance_percent,assignment_score,sleep_hours,previous_score,participation_score,final_score
1,64,89,5.7,77,8,45.95
8,86,84,6.0,41,7,51.14
7,99,74,5.6,80,10,49.06
5,95,94,6.7,41,10,47.17
5,71,47,7.6,38,8,26.8
9,78,96,5.5,42,4,49.27
1,81,91,6.0,63,6,46.39
7,70,70,8.7,72,5,42.33
3,71,84,4.7,59,7,42.7
1,69,71,6.6,42,9,37.32
6,100,56,7.7,47,4,43.33
10,90,88,5.2,86,6,54.15
8,94,55,4.7,93,1,38.32
8,93,59,5.1,81,8,50.75
8,99,71,8.6,41,5,42.77
8,64,91,4.5,85,5,42.0
6,96,63,5.3,77,6,55.68
2,62,70,4.6,67,3,43.68
9,79,42,5.0,43,6,36.53
5,84,47,7.3,95,8,41.07
6,74,43,5.6,61,4,34.55
4,65,44,7.1,37,2,35.38
2,67,92,7.2,47,4,45.07
10,93,91,8.3,59,2,53.38
8,73,90,4.5,38,4,41.82
7,72,43,8.3,54,7,39.58
5,97,44,7.3,63,2,36.68
9,65,57,5.2,92,8,39.0
6,97,74,8.0,40,3,52.91
5,97,60,8.3,70,9,42.69
5,84,69,5.6,90,8,45.73
3,66,50,8.6,84,3,38.98
1,66,84,6.5,91,6,47.11
6,71,59,7.2,45,2,38.24
9,83,44,8.9,83,1,53.96
1,66,85,6.1,94,10,49.28
9,78,95,8.2,54,9,44.98
9,64,40,5.9,65,2,39.57
3,82,66,8.1,67,3,42.52
7,60,90,7.2,65,2,43.12
2,89,83,5.5,52,4,46.74
8,62,92,6.4,94,3,46.26
8,67,65,5.9,93,4,48.45
4,67,62,4.9,58,6,33.86
1,94,83,4.6,84,2,44.45
10,62,49,6.1,59,9,34.67
5,77,54,4.6,83,8,37.69
9,84,76,5.2,70,8,51.72
7,81,80,7.8,63,2,51.82
8,87,47,7.7,42,8,50.82
8,92,71,7.8,74,9,62.26
2,76,62,5.9,54,2,34.54
4,93,70,8.5,48,8,48.76
5,73,98,7.2,46,4,41.72
5,100,44,5.1,94,8,40.82
1,80,100,5.1,41,5,41.62
6,90,67,7.6,83,9,44.71
2,95,87,5.3,87,2,44.75
8,92,65,6.8,36,4,43.42
7,94,58,9.0,70,3,43.56
10,81,87,4.5,70,3,50.64
8,61,81,4.6,56,4,35.55
4,80,48,9.0,75,4,59.29
10,67,83,7.1,59,2,43.65
5,96,85,5.1,61,8,48.43
4,69,63,8.5,61,6,37.49
10,69,96,8.5,83,9,62.2
4,70,79,6.9,73,8,51.59
1,86,60,7.3,58,2,44.89
5,83,40,5.7,91,1,34.24
8,98,81,4.7,83,5,50.78
2,77,52,7.2,91,5,38.35
5,71,86,5.8,79,3,53.51
2,62,72,7.5,58,8,46.3
7,60,68,8.3,82,6,46.19
5,75,49,4.6,55,8,24.28
4,97,83,7.2,51,2,44.42
3,81,50,5.5,62,9,42.85
6,96,65,8.4,94,3,58.6
7,64,91,5.6,69,5,50.69
10,63,96,7.2,58,5,39.86
5,94,100,7.0,63,9,55.05
2,64,98,6.3,52,3,49.57
9,62,73,7.5,75,3,36.98
7,76,52,7.8,56,4,42.16
8,97,91,7.1,68,4,54.74
1,88,88,7.9,57,2,48.11
4,64,100,8.9,54,2,40.05
8,94,79,6.4,94,3,50.51
9,94,48,6.8,56,5,42.1
5,92,70,4.6,39,4,40.64
9,97,67,8.1,58,4,46.95
9,69,91,6.8,67,8,46.1
4,100,63,6.3,40,3,43.71
9,73,60,4.9,53,10,41.58
3,92,44,8.5,45,8,41.51
3,83,90,6.3,65,2,45.86
7,91,86,7.6,79,4,53.48
7,85,42,5.2,94,2,32.16
2,86,66,8.8,58,3,49.43
9,85,69,5.3,87,4,46.67
2,91,68,5.4,48,2,42.32
9,90,96,8.4,82,1,61.14
1,65,49,8.6,69,5,31.18
8,93,58,5.5,81,8,36.06
8,81,51,6.6,81,4,45.21
8,73,54,7.8,67,9,43.7
7,81,95,8.5,50,4,52.14
5,99,97,6.2,67,10,50.87
8,95,42,6.8,85,3,48.68
3,94,78,7.8,94,6,57.86
8,78,54,7.8,91,8,49.38
6,92,51,8.0,46,1,42.44
5,75,57,7.1,71,10,32.87
6,88,51,5.0,41,4,42.11
6,86,69,8.6,75,5,56.13
1,70,100,8.4,95,7,56.7
2,70,75,8.1,38,7,38.65
3,62,84,4.9,75,1,45.24
2,65,70,5.4,92,9,47.06
5,77,40,7.8,86,7,50.81
7,79,45,4.6,58,10,32.98
7,66,56,8.9,41,5,40.22
5,77,54,6.2,91,7,47.38
9,84,91,7.7,91,5,54.82
6,69,91,8.5,70,9,45.0
1,73,92,6.3,94,9,51.56
8,75,78,5.9,35,10,45.34
6,80,73,7.2,72,6,47.78
7,75,79,7.1,37,8,45.35
6,90,64,6.3,92,4,46.72
6,73,80,7.2,76,5,55.05
1,77,88,8.7,90,8,48.11
6,75,86,6.6,69,1,44.24
8,67,77,5.4,40,8,40.47
4,88,43,6.2,36,1,41.83
7,69,84,6.3,55,6,37.02
1,72,62,5.1,80,5,33.84
4,92,85,5.2,44,5,35.15
5,98,72,7.6,86,5,52.26
10,87,93,6.0,49,5,43.31
3,97,60,8.8,65,5,47.1
3,95,96,5.6,47,5,51.85
5,79,91,4.9,63,6,42.62
10,91,60,7.9,62,8,49.23
9,73,69,8.5,35,6,42.77
1,78,72,5.8,69,7,46.74
3,81,86,5.4,82,9,50.12
9,99,82,5.3,92,10,49.05
1,94,91,6.8,55,2,48.54
9,80,62,6.6,88,8,52.1
3,86,70,5.7,88,3,48.3
10,68,66,4.7,95,2,36.05
3,92,95,6.7,57,8,53.99
5,82,58,8.8,86,1,42.76
7,81,75,7.4,69,9,55.4
2,91,47,6.7,38,8,44.89
6,85,91,5.0,51,10,47.85
6,62,63,5.6,75,7,41.07
8,71,60,5.8,44,9,38.11
10,67,75,7.9,61,2,49.26
7,90,70,8.4,82,9,50.01
5,61,91,8.6,44,2,47.1
5,68,72,8.9,65,4,50.83
5,84,71,8.9,48,2,44.5
9,88,46,8.8,67,5,43.32
4,80,41,4.8,49,8,29.43
2,95,64,5.1,93,3,40.93
4,97,100,5.9,39,9,40.67
1,65,95,7.0,93,7,53.03
2,99,78,4.9,83,7,57.55
1,85,78,8.3,87,10,58.64
8,86,63,7.3,86,5,40.4
8,63,50,6.9,46,4,40.99
7,85,40,5.2,91,10,48.85
5,89,60,5.6,71,6,41.62
8,83,59,5.2,93,7,45.49
2,63,51,8.3,88,3,32.41
10,81,55,7.1,70,3,45.9
6,98,41,7.8,57,2,38.58
10,89,77,5.8,42,3,46.22
2,65,96,6.2,41,2,35.17
5,99,82,6.3,58,8,52.28
7,99,67,7.9,84,1,56.87
5,66,65,8.0,65,7,39.82
5,92,58,5.4,64,10,37.72
2,76,48,8.7,49,8,30.57
4,84,76,5.0,69,5,43.15
3,78,74,8.5,73,1,45.24
4,92,40,5.0,94,9,34.5
7,100,65,5.7,79,1,50.04
7,92,56,8.3,72,7,46.14
7,98,50,5.3,90,7,40.31
4,98,82,6.4,60,2,46.27
10,63,72,6.5,92,8,51.45
1,70,78,5.6,57,2,44.13
4,89,83,7.7,42,3,47.18
2,84,99,8.3,60,9,55.65
4,62,88,8.4,42,10,39.68
10,63,77,6.0,42,3,41.0
4,81,93,6.9,88,10,52.89
10,85,69,5.6,83,10,45.07
5,66,100,5.6,48,8,47.0
7,67,86,5.2,86,2,41.74
5,65,79,8.7,39,3,46.76
3,83,95,8.5,52,7,53.97
8,60,71,8.0,78,10,31.35
10,83,83,6.8,53,9,54.25
3,79,57,6.7,79,5,28.25
8,79,98,6.9,88,3,49.93
3,87,78,6.9,39,10,50.54
8,81,87,6.5,36,3,44.0
8,89,68,5.1,92,4,39.86
5,91,92,5.1,66,10,43.62
8,97,44,8.8,65,6,52.45
3,92,46,6.7,63,3,32.48
1,81,70,8.8,61,1,52.42
1,80,84,5.2,77,5,45.36
5,69,89,7.0,70,10,41.88
10,84,66,5.4,44,5,39.18
2,65,79,5.6,73,7,37.53
5,98,73,4.6,75,3,50.85
8,94,98,5.0,41,8,52.22
3,64,79,8.6,57,8,37.04
8,92,65,5.9,83,7,45.71
4,64,99,7.2,72,8,44.54
9,89,46,6.6,43,6,47.43
6,63,100,6.3,37,4,37.38
6,80,49,6.9,70,8,50.55
2,86,57,5.3,63,9,40.98
5,89,90,8.9,93,9,50.88
9,77,84,8.2,66,3,46.71
1,97,99,7.8,91,7,52.85
8,91,85,6.6,48,1,41.85
5,68,78,5.2,62,6,42.33
8,87,61,8.6,43,6,39.94
7,89,40,6.0,70,4,30.18
5,73,47,4.7,46,10,33.25
4,90,58,6.0,65,9,34.73
7,96,42,8.1,55,1,40.35
2,93,70,7.3,46,3,41.02
6,91,87,7.9,40,3,45.09
1,86,98,8.1,66,9,62.81
7,71,69,5.5,92,6,44.95
7,92,93,8.7,47,8,54.46
1,74,100,6.5,59,9,39.03
8,81,92,7.4,48,8,46.17
5,72,68,4.5,84,1,42.61
8,72,59,9.0,60,2,39.88
1,66,99,5.8,94,4,52.88
2,99,54,4.8,49,4,34.39
5,66,65,6.6,39,8,37.69
2,63,44,5.1,70,2,31.58
4,98,88,5.2,74,4,50.7
7,82,79,7.3,95,3,48.01
2,77,45,6.3,88,2,39.46
7,90,53,8.6,88,2,47.96
2,75,73,5.9,73,2,39.72
2,65,72,7.8,56,6,45.31
6,89,88,6.6,61,5,50.77
8,67,56,7.5,43,5,39.41
2,82,96,7.2,61,5,47.63
3,98,67,6.6,57,8,50.58
10,98,90,8.8,37,9,52.48
10,74,54,6.0,47,6,37.89
6,91,42,5.3,67,7,40.99
5,85,43,7.6,57,8,50.36
4,79,62,8.3,95,7,42.07
7,65,98,4.7,64,2,48.34
6,75,42,6.5,93,10,32.76
3,86,62,8.5,75,2,48.8
1,100,46,7.9,37,5,50.33
2,60,96,9.0,47,7,49.72
10,89,81,6.9,78,5,52.2
5,94,86,7.5,68,3,48.99
5,98,83,5.9,53,10,48.79
5,77,80,8.8,66,1,47.98
8,64,87,6.1,90,3,43.4
1,71,40,7.8,58,10,37.05
1,94,92,6.3,37,8,48.48
3,95,85,7.0,53,1,45.1
5,86,85,7.7,92,8,49.24
7,65,63,6.8,81,10,36.88
5,64,88,8.6,86,1,51.99
5,79,63,6.4,90,5,48.39
10,84,42,7.4,42,5,41.74
2,61,95,6.0,52,2,47.71
